,ASDC,B Cell,CD1C,CLEC9A,Eccrine,Endothelial Cell,Fibroblast,Keratinocyte,LC,MDSC,Mac,Melanocyte,Multiplet,NK,PDC,Pilosebaceous,TSK,Tcell,Tumor_KC_Basal,Tumor_KC_Cyc,Tumor_KC_Diff
37x29,0.009062315,0.010025537,0.10149063,0.021158375,0.00078569306,0.002373563,0.024684718,0.21509778,0.050814133,0.017165473,0.10342502,0.020807883,0.042229656,0.0040228395,0.021206288,0.100493066,0.018206807,0.07085561,0.05133226,0.034597058,0.08016529
37x31,0.00710322,0.0129003385,0.101050876,0.016130362,2.0858477e-05,0.001765453,0.025475286,0.20345856,0.04918029,0.023199761,0.10975315,0.027237669,0.070857055,0.005062929,0.0064757513,0.10130366,0.0093017705,0.068385206,0.048643623,0.027351748,0.0853424
37x33,0.008024106,0.012131011,0.10209718,0.015645925,8.9465775e-06,0.007438359,0.03650042,0.23238523,0.05480475,0.020273566,0.09565715,0.033443265,0.0582262,0.003995937,0.005120258,0.07554094,0.0075973384,0.06649928,0.04585733,0.031188844,0.087564
37x35,0.011793688,0.007219819,0.106564626,0.019874053,8.395327e-06,0.025999857,0.028829455,0.22074197,0.05795448,0.015054415,0.09072642,0.016360754,0.0722748,0.0035236117,0.006978009,0.064174086,0.008619506,0.07441341,0.04388745,0.02925404,0.09574719
37x37,0.014295358,0.011110526,0.108488515,0.023597669,3.898029e-06,0.0098025,0.031317167,0.2172397,0.06457083,0.015297503,0.09674369,0.019719759,0.05105902,0.005576714,0.016175652,0.06359064,0.010297276,0.05932585,0.051288467,0.033032008,0.097467385
37x39,0.01144548,0.008817146,0.11505593,0.019255914,6.9400794e-06,0.012365417,0.04187277,0.2263794,0.05552473,0.017314443,0.112539895,0.015581581,0.03891386,0.009969049,0.009716381,0.066502,0.009165487,0.06637151,0.04897032,0.026404709,0.08782704
37x41,0.0093838,0.009782104,0.11874962,0.020285426,5.9929953e-06,0.0034683628,0.04167988,0.22253712,0.06020093,0.020936437,0.11441345,0.017888667,0.028031139,0.0056189834,0.0074492306,0.08287776,0.009279732,0.06861578,0.050041553,0.024888393,0.0838656
37x43,0.0131813185,0.01086842,0.122186616,0.02689748,7.925498e-06,0.0028500615,0.032575507,0.22800645,0.06284704,0.01887827,0.11030267,0.033463795,0.015828636,0.0055141933,0.014991714,0.07445917,0.011345931,0.052526157,0.05040441,0.02814299,0.08472126
37x45,0.014533681,0.009704231,0.12495789,0.0353278,1.1751109e-05,0.0022287539,0.029742872,0.22708955,0.07400006,0.016011754,0.10699653,0.030390332,0.011808471,0.0063255522,0.026604788,0.06381889,0.013075586,0.042220775,0.051489417,0.03100303,0.08265825
37x47,0.014180439,0.009418197,0.123742856,0.027698852,2.226718e-05,0.0029747607,0.030041503,0.2415294,0.068716794,0.02005663,0.10914911,0.0332974,0.0141258,0.0067404723,0.018281592,0.07330632,0.012723943,0.047082677,0.045396198,0.026203908,0.075310856
37x49,0.015795916,0.009870452,0.1229604,0.032075696,1.8260647e-05,0.0029421977,0.032272268,0.24331388,0.07673409,0.01469983,0.10256475,0.030200653,0.0128508415,0.007690221,0.023279756,0.06256233,0.012347136,0.04339536,0.04754729,0.028643157,0.07823554
37x51,0.016005842,0.0110558905,0.12416194,0.029076906,0.0017245463,0.0037153165,0.0278699,0.24150392,0.07048876,0.015047307,0.09900601,0.029197797,0.012098976,0.0065756943,0.02101687,0.08389127,0.011196929,0.049285997,0.04471018,0.02598843,0.07638149
37x53,0.013046228,0.009903778,0.13049693,0.030780187,0.0043794224,0.0054274565,0.022970729,0.25295153,0.062412806,0.01435261,0.09191714,0.027021239,0.012732138,0.006643257,0.06829631,0.046893213,0.012880758,0.032702617,0.038607236,0.027694417,0.08789001
38x22,0.0113523435,0.017390681,0.11915936,0.0293327,2.7721126e-06,0.00014170886,0.01686443,0.25460657,0.064085744,0.016511505,0.10584865,0.034245916,0.017433606,0.002309331,0.01672562,0.0701036,0.020142565,0.041098095,0.047814064,0.032255773,0.08257495
38x24,0.012188486,0.015281628,0.12133861,0.019932149,0.004424699,0.007872926,0.031460352,0.2714566,0.05366764,0.015331213,0.09190767,0.03150862,0.025434181,0.006809271,0.020612773,0.05718938,0.015469697,0.062299177,0.037883718,0.028837502,0.06909366
38x26,0.012529334,0.007843311,0.111331895,0.024031416,0.0011078254,0.013696972,0.036757056,0.25320402,0.06141022,0.015927209,0.085905425,0.019146182,0.046527967,0.004107779,0.020782854,0.057819124,0.011325496,0.052834503,0.04257049,0.037874255,0.083266705
38x28,0.014855915,0.010978432,0.106216125,0.036154754,1.6013431e-05,0.0022276468,0.017897427,0.22993575,0.05878679,0.015184605,0.095059484,0.02606163,0.026741346,0.0038678795,0.037738755,0.066427685,0.029687189,0.04180378,0.050287366,0.046470053,0.083601326
38x30,0.008819744,0.013746362,0.10639622,0.018611388,0.00023457212,0.003354697,0.01622671,0.1996188,0.04892178,0.019730896,0.10870601,0.028181884,0.049893796,0.004652681,0.01738187,0.10522125,0.017998103,0.06578268,0.053009003,0.028613327,0.08489816
38x32,0.0072881556,0.035102896,0.10399167,0.014765711,1.0959604e-05,0.0039091245,0.02152697,0.22549456,0.047396187,0.030685306,0.09929576,0.037476685,0.054695856,0.0074561243,0.005421242,0.09672246,0.008365756,0.051491704,0.03514886,0.02487585,0.08887814
38x34,0.009799264,0.012962767,0.10851325,0.018832391,7.762598e-06,0.007586926,0.036384497,0.24146606,0.06149349,0.01869609,0.09356698,0.04441936,0.04232565,0.0048260884,0.006016091,0.066530116,0.007761429,0.056848865,0.04345709,0.028000576,0.09050531
38x36,0.0148322955,0.013838498,0.11391797,0.032476474,3.865596e-06,0.005976406,0.025529858,0.21196628,0.065208316,0.015662493,0.09827026,0.030981865,0.034318633,0.0043632598,0.020565128,0.06141579,0.0149077615,0.045930948,0.050191883,0.038715784,0.100926265
38x38,0.015682448,0.008720662,0.12027935,0.021861896,0.0013968825,0.017662402,0.042942088,0.23489037,0.056204364,0.012813265,0.09092622,0.015520932,0.038551167,0.008590404,0.017253129,0.061476048,0.00812126,0.064129286,0.05082853,0.02540356,0.086745694
38x40,0.012337538,0.012290522,0.11883779,0.025729878,2.1732514e-05,0.004452052,0.035589978,0.22187798,0.06086195,0.017777834,0.111520834,0.028481722,0.02243331,0.0064090844,0.011306715,0.0743385,0.011337569,0.056973487,0.052091904,0.027124172,0.08820548
38x42,0.012876274,0.011285971,0.12403418,0.030551556,9.829734e-06,0.0045767655,0.029423758,0.22062512,0.06181782,0.017349094,0.11409888,0.03087756,0.015834155,0.005166611,0.015927965,0.07434333,0.011828763,0.051937148,0.053266272,0.028696692,0.08547233
38x44,0.01674405,0.007922192,0.127653,0.03889534,8.21575e-06,0.005403661,0.024780063,0.22857359,0.07149609,0.0132772,0.10222484,0.02968224,0.011817768,0.005445313,0.030572513,0.056232,0.012451104,0.04016346,0.06280108,0.0290654,0.084790856
