6.756892340818785973e-05,3.427364369714459586e-03,1.426154975767565333e-04,1.761313113046091233e-04,8.655814106784374701e-05,1.812219627520655343e-04,1.094708511491193593e-04,9.003257706069424035e-05,1.221119975420075713e-04,4.311245402177732444e-01,1.481811238809875770e-04,1.348431996914423333e-04,9.911183805726171009e-05,7.675217104390340576e-05,6.265226923459355900e-05,2.847577072284168459e-04,2.157192165408547135e-01,8.821915199741972688e-05,3.421270781248798021e-01,5.150306058502362137e-03,8.232084166693194865e-05,3.854097153056843363e-04,1.135354083075046177e-04
1.666149761559288511e-01,6.385443936847569057e-01,9.453706722064683416e-05,1.169473933696109770e-04,8.616661098095596113e-05,1.395081587313273645e-04,8.339685244836939244e-05,9.413784579595689604e-05,1.184676283214146483e-04,4.934790775795048351e-02,1.041624927279199308e-04,1.010171592772053694e-04,7.068978925967950386e-05,7.610132550577402275e-05,7.733377886096179550e-05,1.919448367336189871e-04,5.770197927583846804e-05,1.596038922220542372e-04,1.428690431021117646e-01,9.565548642962519487e-05,7.781454147806370807e-04,9.600402370245782722e-05,8.215756360782534710e-05
5.349885116530719298e-01,6.847261389211852683e-05,7.342662707123719188e-05,7.865883899289390839e-05,6.175977706724522899e-05,8.298620208098292329e-05,9.294842381902693000e-05,4.736260066731729640e-02,7.900808821671531808e-05,6.184579212254979216e-05,7.277994080795377474e-05,8.490031136626220417e-05,5.363256174711817281e-05,6.074576020347748106e-05,4.810774654589764312e-05,6.138854888520950295e-05,4.340692447733143636e-05,6.134686336888168221e-05,4.692863648947671992e-05,4.157105313634372190e-01,5.821658718567295464e-05,4.775169044144904020e-05,7.000443813919070236e-04
6.055799778836703506e-01,9.871987796728401280e-05,9.475703748568339510e-05,1.036544278802558380e-04,8.228559792822697991e-05,1.200316332213278878e-04,1.348620446621814351e-01,8.912526958972341357e-05,1.131638362540317614e-04,9.508679274394167568e-05,1.074704681537025982e-04,1.149317465313869075e-04,7.023918634908721931e-05,8.155146500924175727e-05,6.577793643777854775e-05,3.508062737426322964e-04,7.391175800392436239e-05,8.488464781038783434e-05,2.559516032222257098e-01,1.423418192602303109e-03,8.462144379423440911e-05,1.074778851138802750e-04,2.444587553034243202e-04
9.237174296141285120e-05,1.728699684166300102e-04,1.422968058852555357e-04,1.647361344510895199e-04,9.917827728275866199e-05,1.748888499805444953e-04,1.451238188539902274e-01,1.150142276682181879e-04,1.562490264059508726e-04,2.273407024285001060e-04,1.459051713855295405e-04,1.286288995055840474e-04,9.709524813692483052e-05,1.007043389323948216e-04,8.004000774000843553e-05,1.040495965009707348e-03,4.753546830245209964e-01,1.156945297223993752e-04,2.054099591918265636e-04,1.113907599452422487e-04,1.035301244171609879e-04,3.759419682480892866e-01,1.056891339325159403e-04
7.985636156008237257e-05,1.131123627867806214e-04,1.259852213553614298e-04,1.338689035392883506e-04,1.090598986717599062e-04,1.581208588900606736e-04,1.956789300876659032e-01,1.248139869257171883e-04,1.587191786876413532e-04,7.670662687956228409e-03,1.256245366060397019e-04,1.240272321340136954e-04,1.195472473250321216e-01,5.327581530018417055e-01,8.040560141116187890e-05,1.292469711431451919e-04,1.067792110367163160e-04,1.420345070706530155e-01,2.001068930113775711e-04,1.171929633106918745e-04,2.134893929841809518e-04,8.550330778955954347e-05,1.245869450074065996e-04
1.337011526522519922e-01,7.179190603279111461e-05,7.927771318379304814e-05,1.111164621083314161e-04,6.820164906341100240e-05,1.515798126436362957e-04,6.252486410113855606e-05,7.613507925725687393e-05,9.859795020231517824e-05,8.715334189741560879e-05,1.006689782838724953e-04,3.970746506182376979e-04,5.399998048987881822e-05,4.790633362304358434e-02,4.938919136492682529e-05,6.261161067793565634e-05,5.218480129682143067e-05,8.163255092393253420e-01,5.746069023373093850e-05,1.019354823380152239e-04,1.679444996172372066e-04,1.244645376028651041e-04,9.289128436551048415e-05
1.656153090684677918e-04,2.274361718724645797e-04,2.569590168126608121e-01,2.371758722641393680e-04,1.835478411121889278e-04,2.173296503118818379e-04,1.679647430624640891e-01,1.598604439152837952e-04,1.857874282950224692e-04,1.467054261882812932e-04,1.533090715806620982e-04,1.112107723669566728e-01,1.114523009027140846e-04,8.860807337949029583e-02,2.672596873466200583e-03,1.243674941013938435e-04,9.880290326347003580e-05,3.695922632780287986e-01,1.085932024323079179e-04,1.321946397214188520e-04,4.560754820971029203e-04,1.132584168415801931e-04,1.710225729648771258e-04
8.290827427149943807e-02,9.779084681415307109e-05,4.042085318039660528e-03,1.262965057014838605e-04,8.254796549080113959e-05,1.343886025862728599e-04,8.417531598992582112e-05,1.250694673988624029e-04,1.906383222350899742e-01,1.673455572429402571e-02,9.254959880015178127e-05,2.864785330892853643e-02,7.073121898180818868e-05,1.061301699455886909e-04,2.114657435221362763e-02,7.500941330457928122e-05,4.956190238255896396e-05,6.056652302521275955e-02,6.253335790073027132e-05,5.142152826766709373e-01,7.906728792742756529e-02,5.916454497843358118e-05,8.672922503481677366e-04
7.065810972642820674e-05,1.005270149366497445e-04,9.769325584140309271e-01,1.238538729458316362e-04,9.140001146679279211e-05,1.315156716135741253e-04,8.595294260758425120e-05,1.132281849160930384e-04,1.201351585157751055e-04,8.940799011260593674e-05,1.058974987712179775e-04,9.885959945296110259e-05,9.383565668054282753e-05,8.326527458118882364e-05,7.171161056028976387e-05,8.962427767480261984e-05,6.166168188146926236e-05,1.458715988053223029e-04,2.106313174104003025e-02,8.995597590224742920e-05,7.887909450035024135e-05,7.271806398837065007e-05,8.535055528883314527e-05
